batch_size,epochs,best_f1,best_auc,best_precision,best_recall,training_time_sec,stopped_epoch,error
256,20,0.594118,0.871046,0.559557,0.633229,356.7,20,
256,40,0.740299,0.95534,0.706553,0.777429,611.3,40,
